"Artikel";"Variante";"Leiste";"Größe";"Qualität";"Beschreibung";"Kategorie";"Lager";"Bestand";"Bestandseinheit";"Großhandelspreis";"EAN"
"Phönix";"jaques dunkelbraun";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000631332"
"GGG Art 9";"rose";"1";"24";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000899770"
"W4tler Eisbär";"schwarz, Fell grau";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000501796"
"Rückenwind";"orange chili";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001460313"
"Frau Sommer";"sesam";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"52,00 €";"2000001343586"
"Butterfly";"bergsee";"F";"37";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,50 €";"2000001244869"
"Rückenwind";"Weiß";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001460153"
"Mustang";"Schwarz";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001160145"
"GN Winterstiefel";"violett";"0";"24";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001299968"
"GGG Little Trampa";"berry";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001210086"
"Kommod Flex";"flachs neu";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"160,00 €";"2000000901541"
"GN Winterstiefel";"shadow";"0";"20";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001104859"
"GN Winterschuh";"violett";"0";"26";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"37,00 €";"2000001299906"
"Tramper Flex";"jaques schwarz";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000960203"
"W4tler Eisbär";"schwarz, Fell grau";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000501673"
"Ansa";"kiwi";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001276389"
"Lerche";"braun";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001301418"
"warmer Wind";"nougat";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"121,00 €";"2000001212820"
"Wilderer";"schoko";"F";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"116,00 €";"2000000960562"
"Kommod Classic";"Schwarz";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000000207438"
"Polarstern ";"schoko";"G";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"125,00 €";"2000000958606"
"Tramper Flex";"barrel";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001357484"
"Black Panther";"kohle";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001029091"
"W4tler Eisbär";"jaques dunkelbraun";"H";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000475035"
"W4tler Eisbär";"schwarz, Fell grau";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000502274"
"GN Sandale";"weiche Sohle kimber";"0";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001141724"
"GN Schnürer";"weiche Sohle rose";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000804125"
"Mustang";"nougat";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"107,00 €";"2000001306499"
"Herr Sommer";"monks robe";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"52,00 €";"2000001343739"
"Black Panther";"kohle";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"150,00 €";"2000001029107"
"Wirbelwind";"flachs neu";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000000964010"
"Frau Neuner";"Olive";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001276969"
"Falter";"froschgrün";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001201527"
"ViaVia";"Weiß";"G";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001461594"
"GGG Art 10";"denim";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001103937"
"Jaga Flex";"flachs neu";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000895468"
"GN Schnürer";"weiche Sohle rose";"0";"19";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000804033"
"GN Schnürer";"Varianten GN Schnürer";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001206102"
"Frau Sommer";"sesam";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"52,00 €";"2000001343524"
"G10 Twiga";"flachs neu";"1";"28";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000901343"
"Romy";"timber";"1";"34";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001202623"
"Bronco";"Schwarz";"G";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"224,00 €";"2000001298800"
"Black Panther";"kohle";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"75,00 €";"2000001029084"
"Herr Neuner";"Olive";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001277218"
"G10 Twiga";"flachs neu";"1";"34";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000901435"
"Eight days a week Damen";"timber";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001174951"
"Tramper Flex";"schwarz";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000095776"
"GN Winterschuh";"rose";"0";"22";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"74,00 €";"2000000907338"
"Ansa";"jaques schwarz";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001148532"
"Herr Sommer";"jaques schwarz";"G";"44";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"52,00 €";"2000000704296"
"Ansa";"jaques schwarz";"G";"48";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001148662"
"warmer Wind";"nougat";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"121,00 €";"2000001212868"
"VIA Andante";"weinrot";"F";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001187258"
"Eight days a week Herren";"timber";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001175071"
"GGG Wüdling";"Olive";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001299715"
"GGG Art 10";"denim";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001103883"
"Ansa";"jaques schwarz";"H";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001152621"
"GGG Art S2";"flachs neu";"1";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000000923659"
"Tramper Flex";"jaques schwarz";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000000960210"
"G10 Chui";"rose";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000000797618"
"Air Danubia";"schlehe";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001204351"
"GGG Art 10";"rosa ceresa";"1";"30";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000001021453"
"Lady JaJa";"mocha";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"88,50 €";"2000001356746"
"Klox";"josta";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000001065884"
"Pillango 20";"rosso";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001458877"
"GGG Pony";"shadow";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"48,00 €";"2000001210338"
"Rückenwind Vegan";"Grau";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000999166"
"Rückenwind";"Weiß";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001460252"
"Rückenwind";"denim";"F";"36";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001075425"
"Pillango 20";"Schwarz";"F";"39";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001205556"
"GGG Art 10";"jaques dunkelbraun";"1";"24";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"57,00 €";"2000000610030"
"GGG Art S1";"türkis";"1";"27";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001457047"
"Jaga Flex";"jaques schwarz";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000166698"
"Ansa";"pull up braun";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001454466"
"Ansa";"blattgrün";"F";"40";"QS";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"84,50 €";"2000001280409"
"Klox";"crazy blue";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000001457627"
"GN Schnürer";"flachs neu";"0";"23";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000000907031"
"G10 Chui";"shadow";"1";"33";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"39,00 €";"2000001110584"
"GN Schnürer";"Varianten GN Schnürer";"0";"21";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"34,50 €";"2000001206096"
"GGG Art S2";"shadow";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001241622"
"Ronny";"nougat";"1";"31";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"30,00 €";"2000001205068"
"Jaga Flex";"jaques dunkelbraun";"G";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000163758"
