"Artikel";"Variante";"Leiste";"Größe";"Qualität";"Beschreibung";"Kategorie";"Lager";"Bestand";"Bestandseinheit";"Großhandelspreis";"EAN"
"Jaga Flex";"jaques schwarz";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000167473"
"Kommod Classic";"Schwarz";"F";"38";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"71,00 €";"2000000208091"
"GGG Wüdling";"Olive";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"50,00 €";"2000001299739"
"G10 Twiga";"flachs neu";"1";"32";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000000901473"
"GGG Art 9";"josta";"1";"25";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001104309"
"Klox";"flachs neu";"F";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"66,00 €";"2000000909059"
"W4tler Eisbär";"jaques dunkelbraun";"H";"43";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"103,00 €";"2000000475097"
"Lord Slane Flex";"schwarz";"G";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000000077352"
"Eight days a week Damen";"light rose";"F";"37";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"44,00 €";"2000001240809"
"VIA Andante";"schwarz";"F";"41";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"98,00 €";"2000001176436"
"Phönix";"flachs neu";"G";"45";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"89,00 €";"2000000894911"
"Jaga Flex";"jaques schwarz";"F";"42";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"112,00 €";"2000000167176"
"Wirbelwind";"flachs neu";"G";"47";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"85,00 €";"2000000964102"
"GGG Art 10";"flachs neu";"1";"29";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"2";"Paar";"114,00 €";"2000000902586"
"ViaVia";"schwarz";"G";"40";"Q1";"";"Schuh/Schuh";"Lager Kreuzberg";"1";"Paar";"80,00 €";"2000001308233"
